solver,component,mean_time,share_of_solver_total
pppm,pppm_charge_deposition_time,4.120504293310386e-05,0.08661874734494616
pppm,pppm_fft_solve_time,0.0003800480861231805,0.7989140844793775
pppm,pppm_field_interp_time,4.9861903173751346e-05,0.1048166749918734
pppm,pppm_total_time,0.0004757058280814309,1.0
rbsog,neighbor_pair_build_time,0.000698223182866137,0.03060019430943248
rbsog,neighbor_short_range_time,3.0068924623323724e-05,0.0013177948809611334
rbsog,neighbor_total_time,0.0007305116345260983,0.03201526175346915
rbsog,rbsog_filter_time,0.003620976569651756,0.1586922195370431
rbsog,rbsog_long_range_time,0.008025282580826071,0.35171448383211745
rbsog,rbsog_proposal_time,1.3107558975549495e-05,0.0005744493471667751
rbsog,rbsog_sampling_time,0.008813402343890943,0.3862544682965299
rbsog,rbsog_short_range_time,0.0007373240865705665,0.03231382296054437
rbsog,rbsog_total_time,0.02281760618268069,1.0
