batch_size,cutoff_short,mean_step_time,pressure_variance
25.0,0.8,0.006573687045436765,1.387688270043048e-05
25.0,1.2,0.006896551226997293,1.1984582391014e-05
25.0,1.6,0.006494311772919238,1.1633177771346604e-05
50.0,0.8,0.01285213750005906,7.679396092900888e-06
50.0,1.2,0.011503293817771588,5.0057449084088374e-06
50.0,1.6,0.011580834590859013,4.41618518734743e-06
100.0,0.8,0.02143373159114245,9.756067006190292e-06
100.0,1.2,0.021877368909124263,6.703506805190127e-06
100.0,1.6,0.02257712081816201,5.94386077925221e-06
200.0,0.8,0.04152694118155606,1.0865878611061566e-05
200.0,1.2,0.04178177468218729,7.845808285913527e-06
200.0,1.6,0.04161165750023925,7.092974084416874e-06
400.0,0.8,0.08294250627295696,8.488388116222243e-06
400.0,1.2,0.08139880395455376,5.849141114050973e-06
400.0,1.6,0.08056541581870327,5.214429099600912e-06
